plfs_seq_code,n_employed_records,gross_sector_risk,education_buffer_pts,net_automation_risk,ci_low_95,ci_high_95,ci_width,pct_agri_employed,pct_fishing_employed,pct_manuf_employed,pct_services_employed,pct_illiterate_emp,pct_secondary_emp,pct_graduate_emp,data_status,risk_coefficients,plfs_source,district_code,canonical_name,data_quality_flag,sample_reliability,publishable_rank,automation_risk_rank
17,264,30.23,14.0,16.23,14.6,18.13,3.53,76.4,6.8,6.6,0.0,5.5,28.8,29.9,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA024,Haveri,VERIFIED,ADEQUATE,True,1.0
23,518,28.98,12.75,16.23,15.27,17.14,1.88,81.6,3.3,7.9,0.0,14.0,27.3,19.2,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA003,Mysuru,SPELLING_MISMATCH,HIGH,True,2.0
28,65,30.58,14.57,16.01,13.8,18.43,4.63,82.7,0.0,1.2,0.0,0.0,75.3,14.8,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA019,Udupi,VERIFIED,LOW,False,
27,97,31.68,15.82,15.85,13.25,18.51,5.26,72.3,3.9,4.4,0.0,0.0,27.1,39.4,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA013,Tumakuru,SPELLING_MISMATCH,LOW,False,
05,142,26.58,10.82,15.76,14.44,17.04,2.6,94.3,0.9,0.0,0.0,28.2,26.7,10.7,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA008,Vijayapura,SPELLING_MISMATCH,LOW,False,
11,285,27.44,12.03,15.41,14.43,16.31,1.89,90.3,2.1,3.1,0.0,9.1,27.1,16.6,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA011,Chitradurga,VERIFIED,ADEQUATE,True,3.0
16,108,31.48,16.26,15.22,12.45,17.92,5.47,73.6,5.4,0.5,0.0,0.5,23.7,48.0,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA015,Hassan,VERIFIED,LOW,False,
21,304,29.6,14.58,15.02,13.52,16.56,3.04,82.3,2.2,10.7,0.0,1.6,20.4,36.0,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA026,Koppal,VERIFIED,ADEQUATE,True,4.0
29,115,28.05,13.05,15.0,13.58,16.49,2.9,85.6,4.2,5.2,0.0,4.3,36.1,16.1,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA018,Uttara Kannada,VERIFIED,LOW,False,
19,105,26.99,12.43,14.56,13.41,15.69,2.28,92.7,0.0,5.5,0.0,7.8,22.0,20.2,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA012,Kodagu,VERIFIED,LOW,False,
24,36,27.84,13.32,14.52,12.58,16.91,4.33,83.2,5.3,5.7,0.0,0.6,44.1,17.9,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA009,Raichur,VERIFIED,VERY_LOW,False,
10,106,25.57,11.27,14.31,13.46,15.21,1.75,97.4,0.0,0.0,0.0,7.4,31.9,10.3,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA014,Chikkamagaluru,SPELLING_MISMATCH,LOW,False,
20,132,28.12,14.08,14.04,12.61,15.54,2.93,86.3,0.0,5.5,0.0,0.8,21.7,24.1,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA031,Kolar,VERIFIED,LOW,False,
06,115,25.1,11.22,13.88,13.11,14.7,1.59,99.3,0.0,0.7,0.0,13.0,25.9,12.0,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA010,Ballari,SPELLING_MISMATCH,LOW,False,
14,114,26.58,12.77,13.81,12.18,15.42,3.24,93.7,0.9,0.7,0.0,2.6,26.8,17.7,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA022,Dharwad,VERIFIED,LOW,False,
18,3234,29.18,15.88,13.3,12.92,13.71,0.79,68.0,20.5,6.1,0.0,3.9,23.8,48.1,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA007,Kalaburagi,SPELLING_MISMATCH,HIGH,True,5.0
02,202,26.61,13.43,13.18,12.04,14.31,2.27,94.5,0.0,3.1,0.0,5.4,34.0,24.3,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA001,Bengaluru Urban,VERIFIED,ADEQUATE,True,6.0
25,219,26.16,13.16,13.0,11.91,14.21,2.3,93.4,0.0,4.2,0.0,21.2,34.4,25.6,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA028,Ramanagara,VERIFIED,ADEQUATE,True,7.0
12,102,28.16,15.28,12.89,11.15,14.98,3.84,85.4,4.3,5.9,0.0,5.7,31.7,36.3,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA006,Dakshina Kannada,VERIFIED,LOW,False,
01,491,26.02,13.48,12.54,11.97,13.17,1.21,95.1,2.2,0.6,0.0,4.8,39.8,24.8,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA021,Bagalkote,SPELLING_MISMATCH,ADEQUATE,True,8.0
03,76,25.0,12.5,12.5,11.21,13.46,2.25,100.0,0.0,0.0,0.0,1.2,39.5,16.0,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA002,Bengaluru Rural,VERIFIED,LOW,False,
15,123,26.9,14.85,12.04,10.68,13.75,3.07,89.1,4.5,3.4,0.0,0.2,16.7,41.7,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA023,Gadag,VERIFIED,LOW,False,
30,67,25.49,13.78,11.71,10.79,12.59,1.8,90.2,9.8,0.0,0.0,0.0,52.2,16.7,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA027,Yadgir,VERIFIED,LOW,False,
07,73,25.0,13.36,11.64,10.34,12.7,2.35,100.0,0.0,0.0,0.0,1.1,39.8,23.2,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA004,Belagavi,SPELLING_MISMATCH,LOW,False,
08,351,26.1,14.46,11.64,10.96,12.25,1.28,94.8,0.5,3.7,0.0,3.6,38.2,29.6,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA017,Chamarajanagara,SPELLING_MISMATCH,ADEQUATE,True,9.0
22,20,28.11,16.51,11.6,8.7,14.1,5.41,79.3,0.0,0.0,0.0,0.0,34.2,44.7,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA016,Mandya,VERIFIED,VERY_LOW,False,
13,175,25.02,13.78,11.24,10.38,12.15,1.78,99.9,0.0,0.0,0.0,12.2,40.3,28.5,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA025,Davangere,SPELLING_MISMATCH,LOW,False,
31,18,25.0,14.15,10.85,8.75,13.18,4.43,100.0,0.0,0.0,0.0,0.0,29.2,34.2,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA030,Vijayanagara,BOUNDARY_CHANGE,VERY_LOW,False,
26,50,25.57,14.73,10.83,8.55,13.52,4.97,98.4,0.0,0.0,0.0,8.1,16.0,41.2,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA005,Shivamogga,SPELLING_MISMATCH,LOW,False,
04,69,26.03,15.36,10.68,8.92,12.5,3.58,93.0,4.7,0.0,0.0,5.4,44.6,33.8,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA029,Bidar,VERIFIED,LOW,False,
09,15,25.0,15.47,9.53,7.6,11.47,3.87,100.0,0.0,0.0,0.0,0.0,59.0,34.8,REAL,"OECD 2024, FAO 2024, Acemoglu & Restrepo 2022","PLFS 2023-24 Unit Level Data, MOSPI",KA020,Chikkaballapura,SPELLING_MISMATCH,VERY_LOW,False,
