district_code,canonical_name,plfs_seq_code,rural_unemp_rate,rural_mean_wage,rural_median_wage,rural_educ_index,rural_pct_illiterate,rural_pct_graduate,rural_pct_agriculture,rural_pct_services,rural_n_records,rural_sample_reliability,data_quality_flag,urban_unemp_rate,urban_mean_wage,urban_median_wage,urban_n_records,urban_sample_reliability,wage_gap_rural_urban,wage_gap_ratio,data_status,source
KA021,Bagalkote,01,20.93,17629.0,12500.0,7.08,16.96,15.62,95.11,0.0,1810,ADEQUATE,SPELLING_MISMATCH,23.53,17279.0,12000.0,1571,ADEQUATE,-350.0,0.98,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA001,Bengaluru Urban,02,23.94,25182.0,15000.0,6.23,23.57,11.2,94.53,0.0,720,ADEQUATE,VERIFIED,31.27,20110.0,14000.0,543,ADEQUATE,-5072.0,0.8,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA002,Bengaluru Rural,03,15.08,15698.0,12000.0,6.34,14.5,5.17,100.0,0.0,325,ADEQUATE,VERIFIED,27.74,19489.0,15000.0,470,ADEQUATE,3791.0,1.24,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA029,Bidar,04,35.96,26573.0,18000.0,7.28,17.46,16.97,93.0,0.0,323,ADEQUATE,VERIFIED,21.13,18896.0,15000.0,438,ADEQUATE,-7677.0,0.71,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA008,Vijayapura,05,23.65,14958.0,12000.0,5.46,36.74,4.0,94.33,0.0,469,ADEQUATE,SPELLING_MISMATCH,36.13,10651.0,10000.0,299,LOW,-4307.0,0.71,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA010,Ballari,06,29.32,16760.0,15000.0,5.6,28.03,5.12,99.34,0.0,408,ADEQUATE,SPELLING_MISMATCH,32.24,14620.0,13000.0,331,ADEQUATE,-2140.0,0.87,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA004,Belagavi,07,28.73,20194.0,15000.0,6.94,12.01,8.75,100.0,0.0,291,LOW,SPELLING_MISMATCH,19.87,16477.0,13000.0,186,LOW,-3717.0,0.82,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA017,Chamarajanagara,08,26.44,16798.0,12000.0,7.22,17.3,16.0,94.81,0.0,1282,ADEQUATE,SPELLING_MISMATCH,25.93,20587.0,17000.0,459,ADEQUATE,3789.0,1.23,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA020,Chikkaballapura,09,64.11,23482.0,22000.0,6.39,17.37,8.55,100.0,0.0,114,LOW,SPELLING_MISMATCH,31.16,23060.0,12000.0,142,LOW,-422.0,0.98,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
KA014,Chikkamagaluru,10,40.29,17160.0,9000.0,6.07,20.09,4.9,97.44,0.0,444,ADEQUATE,SPELLING_MISMATCH,25.87,23232.0,15000.0,612,ADEQUATE,6072.0,1.35,REAL,"PLFS 2023-24 Unit Level Data, MOSPI"
