metric_id,metric_name,data_status,source_document,source_file,pdf_page,table_reference,source_column,period_end,notes,verified_by,extraction_date
KA_TOTAL_SUBS,Total Telecom Subscribers,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,24,1.3 / 1.5,Total Subscribers (million) — Karnataka row,2025-12-31,Wireline + Wireless combined,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_TOTAL_TELE_DENSITY,Total Tele-density (Wireline+Wireless),REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,26,1.4 / 1.6,Rural/Urban Tele-density (%) — Karnataka row,2025-12-31,Tele-density = subscribers per 100 population,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_WIRELESS_SUBS,Wireless Subscribers (Mobile + Fixed Wireless),REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,35,1.13 / 1.15,Subscriber base (million) — Karnataka row,2025-12-31,Includes both mobile (handset) and FWA subscribers,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_WIRELESS_TELE_DENSITY,Wireless Tele-density (Mobile + Fixed Wireless),REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,36,1.14 / 1.16,Wireless Tele-density (%) — Karnataka row,2025-12-31,Wireless mobile + FWA per 100 population,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_MOBILE_SUBS,Wireless Mobile Subscribers (excl. Fixed Wireless),REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,43,1.21 / 1.23,Subscriber base (million) — Karnataka row,2025-12-31,"Mobile handset subscribers only, excluding FWA",Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_MOBILE_TELE_DENSITY,Mobile Tele-density (excl. Fixed Wireless),REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,44,1.22 / 1.24,Wireless (mobile) Tele-density (%) — Karnataka row,2025-12-31,Primary mobile coverage indicator for rural areas,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_WIRELINE_SUBS,Wireline (Fixed Line) Subscribers,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,55,1.31 / 1.33,Wireline Subscribers (million) — Karnataka row,2025-12-31,Only 4.89% of wireline subs are rural — urban-dominated,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_WIRELINE_TELE_DENSITY,Wireline Tele-density,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,56,1.32 / 1.34,Wireline Tele-density (%) — Karnataka row,2025-12-31,Rural wireline 0.78% vs urban 17.87% — 17x gap,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_INTERNET_SUBS,Total Internet Subscribers,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,72,1.40 / 1.41,Total Subscribers (In million) — Karnataka row,2025-12-31,Internet = all download speed tiers (narrowband + broadband),Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_INTERNET_DENSITY,Internet Subscribers per 100 Population,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,72,1.41,Tele-density (%) — Karnataka row,2025-12-31,Rural internet penetration 60.75% vs national 47.63%,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_BROADBAND_SUBS,Estimated Broadband Subscribers (≥2Mbps),DERIVED,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,74,National broadband overview,Derived: KA internet 65.17M × (1 − national narrowband fraction 2.07%),2025-12-31,TRAI does not publish service-area-wise broadband figures in QPIR Q4 2025. Derived using national narrowband fraction (21.25M / 1028.61M = 2.07%). Assumption: KA narrowband fraction ≈ national. This is an approximation. Label as DERIVED in all outputs.,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_ARPU,"Average Revenue Per User (wireless, prepaid)",REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,125,QoS parameters Category-A,ARPU (Rs. per month) — Karnataka row,2025-12-31,National benchmark context: Category-A LSA (Bengaluru-heavy). May not represent rural Karnataka affordability.,Manual cross-reference of text extraction vs table extraction,2026-06-05
KA_PREPAID_PCT,Prepaid subscribers as % of total wireless,REAL,"TRAI QPIR Q4 2025 (Oct-Dec 2025), Published 03-03-2026",QPIR_03032026_0.pdf,125,QoS parameters Category-A,% of pre-paid in total Subscribers — Karnataka row,2025-12-31,84.45% prepaid. Lower than national average for rural areas. Indicates relatively more postpaid subscribers vs peer states.,Manual cross-reference of text extraction vs table extraction,2026-06-05
