district_code_x,district_name,state_code,survey_year,n_rural_persons,n_employed,employed_weight,unemp_rate_wt,agri_share_wt,nonagri_share_wt,services_share,edu_secondary_wt,log_wage_median,wage_n,sample_grade,data_status,schema_version,state_code_plfs,state,district_code_num,district_code_y,district_name_standard,bharatnet_treatment,state_group,panel_usable_2x2,panel_usable_3period,data_quality_flag,boundary_note,census_code_resolved,population,rural_population,urban_share,literacy_rate,female_literacy_rate,sc_share,st_share,worker_participation_rate,agri_worker_share,join_year,post_2023,early_treat,late_ctrl,treat_binary,post_early_did,did_sample_2x2,did_sample_3period,log_population,district_code,lfpr_wt,wpr_wt,nilf_share_wt
1,Bagalkote,29,2019,2022,1688,3083479343,10.22,52.42,47.58,30.09,,3.8501,140,A,REAL,1.0,29,Karnataka,1,1.0,Bagalkote,mid,high_connectivity,True,True,VERIFIED,,29-556,1889752,1291906,31.64,68.82,58.4,16.89,5.14,43.29,61.05,2019,0,0,0,0,0,0,0,14.451956161494914,1,92.316,82.882,7.684
2,Bengaluru Urban,29,2019,771,633,1278299892,6.5,52.99,47.01,24.26,,3.8501,55,A,REAL,1.0,29,Karnataka,2,2.0,Bengaluru Urban,early,high_connectivity,True,True,SPELLING_MISMATCH,Urban district — structurally distinct; consider exclusion from DiD,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2019,0,1,0,1,0,1,1,13.806392110999736,2,90.634,84.738,9.366
3,Bengaluru Rural,29,2019,658,583,907059066,6.16,52.02,47.98,23.83,,3.8286,36,A,REAL,1.0,29,Karnataka,3,3.0,Bengaluru Rural,early,high_connectivity,True,True,SPELLING_MISMATCH,,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07,2019,0,1,0,1,0,1,1,13.806392110999736,3,96.244,90.314,3.756
4,Bidar,29,2019,477,413,722321364,11.12,52.76,47.24,14.98,,3.8501,12,B,REAL,1.0,29,Karnataka,4,4.0,Bidar,late,high_connectivity,True,True,VERIFIED,,29-558,1703300,1277348,25.01,70.51,61.55,23.47,13.85,41.25,59.98,2019,0,0,1,0,0,1,1,14.34807810384867,4,90.924,80.81,9.076
5,Vijayapura,29,2019,273,226,278623695,7.95,53.42,46.58,26.67,,3.5553,19,C,REAL,1.0,29,Karnataka,5,5.0,Vijayapura,late,high_connectivity,True,True,SPELLING_MISMATCH,PLFS/older sources use Bijapur,29-557,2177331,1675353,23.05,67.15,56.72,20.34,1.81,42.61,66.16,2019,0,0,1,0,0,1,1,14.593610372756531,5,91.643,84.359,8.357
6,Ballari,29,2019,472,393,595838805,15.44,50.9,49.1,31.25,,3.8501,32,B,REAL,1.0,29,Karnataka,6,6.0,Ballari,mid,high_connectivity,True,True,BOUNDARY_CHANGE,Vijayanagara carved from Ballari in 2021; 2019-20 panel uses Ballari only,29-565,2452595,1532356,37.52,67.43,58.09,21.1,18.41,45.54,59.47,2019,0,0,0,0,0,0,0,14.712657205655129,6,98.026,82.89,1.974
7,Belagavi,29,2019,193,175,258212936,5.79,48.78,51.22,16.47,,3.7136,12,D,REAL,1.0,29,Karnataka,7,7.0,Belagavi,mid,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Belgaum,29-555,4779661,3568466,25.34,73.48,64.58,12.08,6.22,44.05,64.66,2019,0,0,0,0,0,0,0,15.379880181450568,7,96.221,90.653,3.779
8,Chamarajanagara,29,2019,1329,1150,2283693347,5.61,49.21,50.79,24.25,,3.8501,121,A,REAL,1.0,29,Karnataka,8,8.0,Chamarajanagara,mid,high_connectivity,True,True,SPELLING_MISMATCH,Spelling variant,29-578,1020791,845817,17.14,61.43,54.92,25.42,11.78,47.19,67.97,2019,0,0,0,0,0,0,0,13.836088374919376,8,93.002,87.78,6.998
9,Chikkaballapura,29,2019,489,391,713661859,18.71,48.25,51.75,31.92,,3.8501,42,B,REAL,1.0,29,Karnataka,9,9.0,Chikkaballapura,early,high_connectivity,True,True,VERIFIED,,29-582,1255104,973985,22.4,69.76,61.55,24.9,12.47,50.97,65.52,2019,0,1,0,1,0,1,1,14.04272899564051,9,93.27,75.816,6.73
10,Chikkamagaluru,29,2019,365,313,606029234,4.59,52.5,47.5,25.57,,3.8501,26,B,REAL,1.0,29,Karnataka,10,10.0,Chikkamagaluru,early,high_connectivity,True,True,SPELLING_MISMATCH,PLFS uses old name Chikmagalur,29-570,1137961,898453,21.05,79.25,73.16,22.29,3.95,49.72,49.84,2019,0,1,0,1,0,1,1,13.944748622430897,10,90.668,86.511,9.332
