date,ChatGPT,artificial intelligence,geo,state,timeframe,machine learning,AI tools
2019-12-29,0.0,80.0,IN-KA,Karnataka,2020_2021,,
2020-01-05,0.0,100.0,IN-KA,Karnataka,2020_2021,,
2020-01-12,0.0,70.0,IN-KA,Karnataka,2020_2021,,
2020-01-19,0.0,72.0,IN-KA,Karnataka,2020_2021,,
2020-01-26,0.0,70.0,IN-KA,Karnataka,2020_2021,,
2020-02-02,0.0,68.0,IN-KA,Karnataka,2020_2021,,
2020-02-09,0.0,77.0,IN-KA,Karnataka,2020_2021,,
2020-02-16,0.0,82.0,IN-KA,Karnataka,2020_2021,,
2020-02-23,0.0,91.0,IN-KA,Karnataka,2020_2021,,
2020-03-01,0.0,83.0,IN-KA,Karnataka,2020_2021,,
2020-03-08,0.0,62.0,IN-KA,Karnataka,2020_2021,,
2020-03-15,0.0,42.0,IN-KA,Karnataka,2020_2021,,
2020-03-22,0.0,40.0,IN-KA,Karnataka,2020_2021,,
2020-03-29,0.0,49.0,IN-KA,Karnataka,2020_2021,,
2020-04-05,0.0,57.0,IN-KA,Karnataka,2020_2021,,
2020-04-12,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2020-04-19,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2020-04-26,0.0,55.0,IN-KA,Karnataka,2020_2021,,
2020-05-03,0.0,63.0,IN-KA,Karnataka,2020_2021,,
2020-05-10,0.0,61.0,IN-KA,Karnataka,2020_2021,,
2020-05-17,0.0,63.0,IN-KA,Karnataka,2020_2021,,
2020-05-24,0.0,56.0,IN-KA,Karnataka,2020_2021,,
2020-05-31,0.0,53.0,IN-KA,Karnataka,2020_2021,,
2020-06-07,0.0,56.0,IN-KA,Karnataka,2020_2021,,
2020-06-14,0.0,51.0,IN-KA,Karnataka,2020_2021,,
2020-06-21,0.0,57.0,IN-KA,Karnataka,2020_2021,,
2020-06-28,0.0,63.0,IN-KA,Karnataka,2020_2021,,
2020-07-05,0.0,42.0,IN-KA,Karnataka,2020_2021,,
2020-07-12,0.0,50.0,IN-KA,Karnataka,2020_2021,,
2020-07-19,0.0,57.0,IN-KA,Karnataka,2020_2021,,
