state,state_code_census,state_code_plfs,district_name_standard,census_district_code,plfs_2019_code,plfs_2021_code,plfs_2021_code_status,plfs_2023_code,bharatnet_district_name,bharatnet_treatment,state_group,boundary_note,panel_usable_2x2,panel_usable_3period,data_quality_flag,census_code_resolved,census_district_code_cen,population,rural_population,urban_share,literacy_rate,female_literacy_rate,sc_share,st_share,worker_participation_rate,agri_worker_share
Karnataka,29,29,Bagalkote,29-201,1.0,1.0,PROBABLE_b1q4_perrv,1.0,Bagalkote,mid,high_connectivity,,True,True,VERIFIED,29-556,29-556,1889752,1291906,31.64,68.82,58.4,16.89,5.14,43.29,61.05
Karnataka,29,29,Bengaluru Urban,29-202,2.0,2.0,PROBABLE_b1q4_perrv,2.0,Bangalore Urban,early,high_connectivity,Urban district — structurally distinct; consider exclusion from DiD,True,True,SPELLING_MISMATCH,29-583,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07
Karnataka,29,29,Bengaluru Rural,29-203,3.0,3.0,PROBABLE_b1q4_perrv,3.0,Bangalore Rural,early,high_connectivity,,True,True,SPELLING_MISMATCH,29-583,29-583,990923,722179,27.12,77.93,70.63,21.57,5.34,46.41,46.07
Karnataka,29,29,Bidar,29-204,4.0,4.0,PROBABLE_b1q4_perrv,4.0,Bidar,late,high_connectivity,,True,True,VERIFIED,29-558,29-558,1703300,1277348,25.01,70.51,61.55,23.47,13.85,41.25,59.98
Karnataka,29,29,Vijayapura,29-205,5.0,5.0,PROBABLE_b1q4_perrv,5.0,Bijapur,late,high_connectivity,PLFS/older sources use Bijapur,True,True,SPELLING_MISMATCH,29-557,29-557,2177331,1675353,23.05,67.15,56.72,20.34,1.81,42.61,66.16
Karnataka,29,29,Ballari,29-206,6.0,6.0,PROBABLE_b1q4_perrv,6.0,Bellary,mid,high_connectivity,Vijayanagara carved from Ballari in 2021; 2019-20 panel uses Ballari only,True,True,BOUNDARY_CHANGE,29-565,29-565,2452595,1532356,37.52,67.43,58.09,21.1,18.41,45.54,59.47
Karnataka,29,29,Belagavi,29-207,7.0,7.0,PROBABLE_b1q4_perrv,7.0,Belgaum,mid,high_connectivity,PLFS uses old name Belgaum,True,True,SPELLING_MISMATCH,29-555,29-555,4779661,3568466,25.34,73.48,64.58,12.08,6.22,44.05,64.66
Karnataka,29,29,Chamarajanagara,29-208,8.0,8.0,PROBABLE_b1q4_perrv,8.0,Chamarajanagar,mid,high_connectivity,Spelling variant,True,True,SPELLING_MISMATCH,29-578,29-578,1020791,845817,17.14,61.43,54.92,25.42,11.78,47.19,67.97
Karnataka,29,29,Chikkaballapura,29-209,9.0,9.0,PROBABLE_b1q4_perrv,9.0,Chikkaballapura,early,high_connectivity,,True,True,VERIFIED,29-582,29-582,1255104,973985,22.4,69.76,61.55,24.9,12.47,50.97,65.52
Karnataka,29,29,Chikkamagaluru,29-210,10.0,10.0,PROBABLE_b1q4_perrv,10.0,Chikmagalur,early,high_connectivity,PLFS uses old name Chikmagalur,True,True,SPELLING_MISMATCH,29-570,29-570,1137961,898453,21.05,79.25,73.16,22.29,3.95,49.72,49.84
Karnataka,29,29,Chitradurga,29-211,11.0,11.0,PROBABLE_b1q4_perrv,11.0,Chitradurga,mid,high_connectivity,,True,True,VERIFIED,29-566,29-566,1659456,1329923,19.86,73.71,65.88,23.45,18.23,51.62,67.78
Karnataka,29,29,Dakshina Kannada,29-212,12.0,12.0,PROBABLE_b1q4_perrv,12.0,Dakshina Kannada,early,high_connectivity,,True,True,VERIFIED,29-575,29-575,2089649,1093563,47.67,88.57,84.13,7.09,3.94,47.75,6.32
Karnataka,29,29,Davangere,29-213,13.0,13.0,PROBABLE_b1q4_perrv,13.0,Davanagere,mid,high_connectivity,Spelling variant,True,True,SPELLING_MISMATCH,29-567,29-567,1945497,1316487,32.33,75.74,68.91,20.18,11.98,44.99,60.18
Karnataka,29,29,Dharwad,29-214,14.0,14.0,PROBABLE_b1q4_perrv,14.0,Dharwad,early,high_connectivity,,True,True,VERIFIED,29-562,29-562,1847023,797484,56.82,80.0,73.46,9.63,4.74,42.49,47.39
Karnataka,29,29,Gadag,29-215,15.0,15.0,PROBABLE_b1q4_perrv,15.0,Gadag,mid,high_connectivity,,True,True,VERIFIED,29-561,29-561,1064570,685261,35.63,75.12,65.44,16.36,5.79,46.57,66.12
Karnataka,29,29,Hassan,29-216,16.0,16.0,PROBABLE_b1q4_perrv,16.0,Hassan,early,high_connectivity,,True,True,VERIFIED,29-574,29-574,1776421,1399658,21.21,76.07,68.6,19.42,1.82,50.87,66.73
Karnataka,29,29,Haveri,29-217,17.0,17.0,PROBABLE_b1q4_perrv,17.0,Haveri,mid,high_connectivity,,True,True,VERIFIED,29-564,29-564,1597668,1242167,22.25,77.4,70.46,13.77,8.85,45.7,70.45
Karnataka,29,29,Kalaburagi,29-218,18.0,18.0,PROBABLE_b1q4_perrv,18.0,Gulbarga,late,high_connectivity,Census/new name Kalaburagi; PLFS uses Gulbarga,True,True,SPELLING_MISMATCH,29-579,29-579,2566326,1730775,32.56,64.85,55.09,25.28,2.54,42.36,58.46
Karnataka,29,29,Kodagu,29-219,19.0,19.0,PROBABLE_b1q4_perrv,19.0,Kodagu,early,high_connectivity,,True,True,VERIFIED,29-576,29-576,554519,473531,14.61,82.61,78.14,13.27,10.47,50.3,13.02
Karnataka,29,29,Kolar,29-220,20.0,20.0,PROBABLE_b1q4_perrv,20.0,Kolar,early,high_connectivity,,True,True,VERIFIED,29-581,29-581,1536401,1056328,31.25,74.39,66.84,30.32,5.13,46.72,53.53
Karnataka,29,29,Koppal,29-221,21.0,21.0,PROBABLE_b1q4_perrv,21.0,Koppal,late,high_connectivity,,True,True,VERIFIED,29-560,29-560,1389920,1156216,16.81,68.09,57.55,18.61,11.82,47.11,66.65
Karnataka,29,29,Mandya,29-222,22.0,22.0,PROBABLE_b1q4_perrv,22.0,Mandya,early,high_connectivity,,True,True,VERIFIED,29-573,29-573,1805769,1497407,17.08,70.4,62.54,14.69,1.24,48.26,69.44
Karnataka,29,29,Mysuru,29-223,23.0,23.0,PROBABLE_b1q4_perrv,23.0,Mysore,early,high_connectivity,PLFS uses old name Mysore,True,True,SPELLING_MISMATCH,29-577,29-577,3001127,1755714,41.5,72.79,67.06,17.88,11.15,43.79,50.24
Karnataka,29,29,Raichur,29-224,24.0,24.0,PROBABLE_b1q4_perrv,24.0,Raichur,late,high_connectivity,,True,True,VERIFIED,29-559,29-559,1928812,1438464,25.42,59.56,48.73,20.79,19.03,46.84,69.61
Karnataka,29,29,Ramanagara,29-225,25.0,25.0,PROBABLE_b1q4_perrv,25.0,Ramanagara,early,high_connectivity,,True,True,VERIFIED,29-584,29-584,1082636,814877,24.73,69.22,61.5,18.83,2.12,49.09,58.44
Karnataka,29,29,Shivamogga,29-226,26.0,26.0,PROBABLE_b1q4_perrv,26.0,Shimoga,mid,high_connectivity,PLFS uses old name Shimoga,True,True,SPELLING_MISMATCH,29-568,29-568,1752753,1129026,35.59,80.45,74.84,17.58,3.73,44.54,57.77
Karnataka,29,29,Tumakuru,29-227,27.0,27.0,PROBABLE_b1q4_perrv,27.0,Tumkur,early,high_connectivity,PLFS uses old name Tumkur,True,True,SPELLING_MISMATCH,29-571,29-571,2678980,2079902,22.36,75.14,67.38,18.92,7.82,50.57,63.35
Karnataka,29,29,Udupi,29-228,28.0,28.0,PROBABLE_b1q4_perrv,28.0,Udupi,early,high_connectivity,,True,True,VERIFIED,29-569,29-569,1177361,843300,28.37,86.24,81.58,6.41,4.49,43.59,24.65
Karnataka,29,29,Uttara Kannada,29-229,29.0,29.0,PROBABLE_b1q4_perrv,29.0,Uttar Kannada,mid,high_connectivity,Spelling variant in older sources,True,True,SPELLING_MISMATCH,29-563,29-563,1437169,1018188,29.15,84.06,78.39,8.1,2.38,42.34,37.45
Karnataka,29,29,Yadgir,29-230,30.0,30.0,PROBABLE_b1q4_perrv,30.0,Yadgir,late,high_connectivity,,True,True,VERIFIED,29-580,29-580,1174271,953594,18.79,51.83,41.38,23.28,12.51,46.64,71.94
Karnataka,29,29,Vijayanagara,29-231,,,MISSING,31.0,Vijayanagara,late,high_connectivity,NEW DISTRICT: carved from Ballari in 2021. NO 2019-20 code. Use Ballari (code 6) as proxy for pre-period.,False,False,INCOMPLETE,29-584,29-584,1082636,814877,24.73,69.22,61.5,18.83,2.12,49.09,58.44
Bihar,10,10,Araria,10-209,1.0,1.0,PROBABLE_b1q4_perrv,1.0,Araria,late,low_connectivity,,True,True,VERIFIED,10-209,10-209,2811569,2642792,6.0,53.53,43.93,13.61,1.38,38.05,85.51
