state,state_code_census,census_district_code,district_name_census,population,rural_population,urban_population,urban_share,literacy_rate,male_literacy_rate,female_literacy_rate,sc_share,st_share,worker_participation_rate,main_worker_share,agri_worker_share,other_worker_share,data_year,source
Rajasthan,8,8-99,Ganganagar ,1969168,1433736,535432,27.19,69.64,78.5,59.7,36.58,0.68,46.35,74.57,54.65,45.35,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-100,Hanumangarh,1774692,1424228,350464,19.75,67.13,77.41,55.84,27.85,0.81,47.07,76.88,64.33,35.67,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-101,Bikaner,2363937,1563553,800384,33.86,65.13,75.9,53.23,20.88,0.33,41.72,76.33,61.15,38.85,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-102,Churu,2039547,1463312,576235,28.25,66.75,78.78,54.04,22.15,0.55,44.27,69.6,73.17,26.83,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-103,Jhunjhunun,2137045,1647966,489079,22.89,74.13,86.9,60.95,16.88,1.95,41.86,66.26,66.01,33.99,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-104,Alwar,3674179,3019728,654451,17.81,70.72,83.75,56.25,17.77,7.87,46.5,69.03,65.3,34.7,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-105,Bharatpur,2548462,2053363,495099,19.43,70.11,84.1,54.24,21.87,2.12,42.03,64.88,69.07,30.93,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-106,Dhaulpur,1206516,959066,247450,20.51,69.08,81.22,54.67,20.36,4.86,43.37,60.71,58.16,41.84,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-107,Karauli,1458248,1240143,218105,14.96,66.22,81.41,48.61,24.31,22.28,43.12,69.72,71.68,28.32,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-108,Sawai Madhopur,1335551,1069084,266467,19.95,65.39,81.51,47.51,20.87,21.4,43.28,72.41,69.57,30.43,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-109,Dausa,1634409,1432616,201793,12.35,68.16,82.98,51.93,21.68,26.51,41.88,73.95,68.26,31.74,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-110,Jaipur,6626178,3154331,3471847,52.4,75.51,86.05,64.02,15.14,7.97,37.2,83.57,35.53,64.47,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-111,Sikar,2677333,2043427,633906,23.68,71.91,85.11,58.23,15.64,2.81,37.59,69.42,58.54,41.46,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
Rajasthan,8,8-112,Nagaur,3307743,2670539,637204,19.26,62.8,77.17,47.82,21.16,0.31,43.11,69.15,69.99,30.01,2011,Census 2011 PCA District-level (DDW_PCA0000_2011_Indiastatedist.xlsx)
