state,state_code_plfs,plfs_2019_code,plfs_2021_code,plfs_2023_code,district_name_plfs_2019,district_name_plfs_2021,district_name_plfs_2023,district_name_standard,district_name_census,district_name_bharatnet,census_code_resolved,bharatnet_treatment,concordance_status,plfs_2021_col_status
Karnataka,29,1,1,1,Bagalkote,Bagalkote,Bagalkote,Bagalkote,Bagalkot,Bagalkote,29-556,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,2,2,2,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,Bangalore Rural,Bangalore Urban,29-583,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,3,3,3,Bengaluru Rural,Bengaluru Rural,Bengaluru Rural,Bengaluru Rural,Bangalore Rural,Bangalore Rural,29-583,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,4,4,4,Bidar,Bidar,Bidar,Bidar,Bidar,Bidar,29-558,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,5,5,5,Vijayapura,Vijayapura,Vijayapura,Vijayapura,Bijapur,Bijapur,29-557,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,6,6,6,Ballari,Ballari,Ballari,Ballari,Bellary,Bellary,29-565,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,7,7,7,Belagavi,Belagavi,Belagavi,Belagavi,Belgaum,Belgaum,29-555,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,8,8,8,Chamarajanagara,Chamarajanagara,Chamarajanagara,Chamarajanagara,Chamarajanagar,Chamarajanagar,29-578,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,9,9,9,Chikkaballapura,Chikkaballapura,Chikkaballapura,Chikkaballapura,Chikkaballapura,Chikkaballapura,29-582,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,10,10,10,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru,Chikmagalur,Chikmagalur,29-570,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,11,11,11,Chitradurga,Chitradurga,Chitradurga,Chitradurga,Chitradurga,Chitradurga,29-566,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,12,12,12,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,29-575,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,13,13,13,Davangere,Davangere,Davangere,Davangere,Davanagere,Davanagere,29-567,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,14,14,14,Dharwad,Dharwad,Dharwad,Dharwad,Dharwad,Dharwad,29-562,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,15,15,15,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,29-561,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,16,16,16,Hassan,Hassan,Hassan,Hassan,Hassan,Hassan,29-574,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,17,17,17,Haveri,Haveri,Haveri,Haveri,Haveri,Haveri,29-564,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,18,18,18,Kalaburagi,Kalaburagi,Kalaburagi,Kalaburagi,Gulbarga,Gulbarga,29-579,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,19,19,19,Kodagu,Kodagu,Kodagu,Kodagu,Kodagu,Kodagu,29-576,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,20,20,20,Kolar,Kolar,Kolar,Kolar,Kolar,Kolar,29-581,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,21,21,21,Koppal,Koppal,Koppal,Koppal,Koppal,Koppal,29-560,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,22,22,22,Mandya,Mandya,Mandya,Mandya,Mandya,Mandya,29-573,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,23,23,23,Mysuru,Mysuru,Mysuru,Mysuru,Mysore,Mysore,29-577,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,24,24,24,Raichur,Raichur,Raichur,Raichur,Raichur,Raichur,29-559,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,25,25,25,Ramanagara,Ramanagara,Ramanagara,Ramanagara,Ramanagara,Ramanagara,29-584,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,26,26,26,Shivamogga,Shivamogga,Shivamogga,Shivamogga,Shimoga,Shimoga,29-568,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,27,27,27,Tumakuru,Tumakuru,Tumakuru,Tumakuru,Tumkur,Tumkur,29-571,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,28,28,28,Udupi,Udupi,Udupi,Udupi,Udupi,Udupi,29-569,early,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,29,29,29,Uttara Kannada,Uttara Kannada,Uttara Kannada,Uttara Kannada,Uttara Kannada,Uttar Kannada,29-563,mid,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,30,30,30,Yadgir,Yadgir,Yadgir,Yadgir,Yadgir,Yadgir,29-580,late,EXACT,PROBABLE_b1q4_perrv
Karnataka,29,,,31,NO_CODE,NO_CODE,UNKNOWN_31,Vijayanagara,Ramanagara,Vijayanagara,29-584,late,SPELLING,MISSING
Bihar,10,1,1,1,Araria,Araria,Araria,Araria,Araria,Araria,10-209,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,2,2,2,Arwal,Arwal,Arwal,Arwal,Arwal,Arwal,10-240,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,,,,NO_CODE,NO_CODE,NO_CODE,Aurangabad,Aurangabad,Aurangabad,10-235,mid,EXACT,MISSING
Bihar,10,4,4,,Banka,Banka,NO_CODE,Banka,Banka,Banka,10-225,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,5,5,5,Begusarai,Begusarai,Begusarai,Begusarai,Begusarai,Begusarai,10-222,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,6,6,,Bhagalpur,Bhagalpur,NO_CODE,Bhagalpur,Bhagalpur,Bhagalpur,10-224,early,EXACT,PROBABLE_b1q4_perrv
Bihar,10,7,7,7,Bhojpur,Bhojpur,Bhojpur,Bhojpur,Bhojpur,Bhojpur,10-231,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,8,8,8,Buxar,Buxar,Buxar,Buxar,Buxar,Buxar,10-232,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,9,9,9,Darbhanga,Darbhanga,Darbhanga,Darbhanga,Darbhanga,Darbhanga,10-215,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,10,10,10,Gaya,Gaya,Gaya,Gaya,Gaya,Gaya,10-236,early,EXACT,PROBABLE_b1q4_perrv
Bihar,10,11,11,11,Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj,Gopalganj,10-217,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,12,12,12,Jamui,Jamui,Jamui,Jamui,Jamui,Jamui,10-238,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,13,13,13,Jehanabad,Jehanabad,Jehanabad,Jehanabad,Jehanabad,Jehanabad,10-239,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,14,14,14,Kaimur,Kaimur,Kaimur,Kaimur,Kaimur (Bhabua),Kaimur (Bhabua),10-233,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,15,15,15,Katihar,Katihar,Katihar,Katihar,Katihar,Katihar,10-212,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,16,16,16,Khagaria,Khagaria,Khagaria,Khagaria,Khagaria,Khagaria,10-223,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,17,17,17,Kishanganj,Kishanganj,Kishanganj,Kishanganj,Kishanganj,Kishanganj,10-210,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,18,18,18,Lakhisarai,Lakhisarai,Lakhisarai,Lakhisarai,Lakhisarai,Lakhisarai,10-227,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,19,19,19,Madhepura,Madhepura,Madhepura,Madhepura,Madhepura,Madhepura,10-213,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,20,20,20,Madhubani,Madhubani,Madhubani,Madhubani,Madhubani,Madhubani,10-207,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,21,21,21,Munger,Munger,Munger,Munger,Munger,Munger,10-226,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,22,22,22,Muzaffarpur,Muzaffarpur,Muzaffarpur,Muzaffarpur,Muzaffarpur,Muzaffarpur,10-216,early,EXACT,PROBABLE_b1q4_perrv
Bihar,10,23,23,,Nalanda,Nalanda,NO_CODE,Nalanda,Nalanda,Nalanda,10-229,early,EXACT,PROBABLE_b1q4_perrv
Bihar,10,24,24,24,Nawada,Nawada,Nawada,Nawada,Nawada,Nawada,10-237,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,25,25,25,Pashchim Champaran,Pashchim Champaran,Pashchim Champaran,Pashchim Champaran,Pashchim Champaran,West Champaran,10-203,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,26,26,26,Patna,Patna,Patna,Patna,Patna,Patna,10-230,early,EXACT,PROBABLE_b1q4_perrv
Bihar,10,27,27,27,Purba Champaran,Purba Champaran,Purba Champaran,Purba Champaran,Purba Champaran,East Champaran,10-204,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,28,28,28,Purnia,Purnia,Purnia,Purnia,Purnia,Purnia,10-211,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,29,29,29,Rohtas,Rohtas,Rohtas,Rohtas,Rohtas,Rohtas,10-234,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,30,30,30,Saharsa,Saharsa,Saharsa,Saharsa,Saharsa,Saharsa,10-214,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,31,31,31,Samastipur,MISSING,Samastipur,Samastipur,Samastipur,Samastipur,10-221,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,32,32,32,Saran,Saran,Saran,Saran,Saran,Saran,10-219,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,33,33,33,Sheikhpura,Sheikhpura,Sheikhpura,Sheikhpura,Sheikhpura,Sheikhpura,10-228,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,34,34,34,Sheohar,Sheohar,Sheohar,Sheohar,Sheohar,Sheohar,10-205,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,35,35,35,Sitamarhi,Sitamarhi,Sitamarhi,Sitamarhi,Sitamarhi,Sitamarhi,10-206,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,36,36,36,Siwan,Siwan,Siwan,Siwan,Siwan,Siwan,10-218,mid,EXACT,PROBABLE_b1q4_perrv
Bihar,10,37,37,37,Supaul,Supaul,Supaul,Supaul,Supaul,Supaul,10-208,late,EXACT,PROBABLE_b1q4_perrv
Bihar,10,38,38,38,Vaishali,Vaishali,Vaishali,Vaishali,Vaishali,Vaishali,10-220,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,1,1,1,Ajmer,Ajmer,Ajmer,Ajmer,Ajmer,Ajmer,8-119,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,2,2,2,Alwar,Alwar,Alwar,Alwar,Alwar,Alwar,8-104,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,3,3,3,Banswara,Banswara,Banswara,Banswara,Banswara,Banswara,8-125,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,4,4,4,Baran,Baran,Baran,Baran,Baran,Baran,8-128,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,5,5,5,Barmer,Barmer,Barmer,Barmer,Barmer,Barmer,8-115,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,6,6,6,Bharatpur,Bharatpur,Bharatpur,Bharatpur,Bharatpur,Bharatpur,8-105,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,7,7,7,Bhilwara,Bhilwara,Bhilwara,Bhilwara,Bhilwara,Bhilwara,8-122,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,8,8,8,Bikaner,Bikaner,Bikaner,Bikaner,Bikaner,Bikaner,8-101,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,9,9,9,Bundi,Bundi,Bundi,Bundi,Bundi,Bundi,8-121,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,10,10,10,Chittaurgarh,Chittaurgarh,Chittaurgarh,Chittaurgarh,Chittaurgarh,Chittorgarh,8-126,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,11,11,11,Churu,Churu,Churu,Churu,Churu,Churu,8-102,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,12,12,12,Dausa,Dausa,Dausa,Dausa,Dausa,Dausa,8-109,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,13,13,13,Dhaulpur,Dhaulpur,Dhaulpur,Dhaulpur,Dhaulpur,Dholpur,8-106,mid,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,14,14,14,Dungarpur,Dungarpur,Dungarpur,Dungarpur,Dungarpur,Dungarpur,8-124,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,15,15,15,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Ganganagar,8-99,early,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,16,16,,Hanumangarh,Hanumangarh,NO_CODE,Hanumangarh,Hanumangarh,Hanumangarh,8-100,early,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,17,17,17,Jaipur,Jaipur,Jaipur,Jaipur,Jaipur,Jaipur,8-110,early,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,18,18,18,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer,8-114,late,EXACT,PROBABLE_b1q4_perrv
Rajasthan,8,19,19,19,Jalor,Jalor,Jalor,Jalor,Jalor,Jalore,8-116,late,EXACT,PROBABLE_b1q4_perrv
