state,treatment_group,outcome,year,mean,sd,n
Karnataka,early,unemp_rate_wt,2019,6.408,4.483,11
Karnataka,early,unemp_rate_wt,2021,7.271,2.731,12
Karnataka,early,unemp_rate_wt,2023,6.726,2.844,10
Karnataka,late,unemp_rate_wt,2019,7.816,3.554,5
Karnataka,late,unemp_rate_wt,2021,5.698,2.166,4
Karnataka,late,unemp_rate_wt,2023,3.575,2.588,4
Karnataka,early,agri_share_wt,2019,51.646,2.457,11
Karnataka,early,agri_share_wt,2021,50.461,2.815,12
Karnataka,early,agri_share_wt,2023,51.819,3.567,10
Karnataka,late,agri_share_wt,2019,49.108,6.669,5
Karnataka,late,agri_share_wt,2021,51.268,2.935,4
Karnataka,late,agri_share_wt,2023,56.092,4.858,4
Karnataka,early,nonagri_share_wt,2019,48.354,2.457,11
Karnataka,early,nonagri_share_wt,2021,49.539,2.815,12
Karnataka,early,nonagri_share_wt,2023,48.181,3.567,10
Karnataka,late,nonagri_share_wt,2019,50.892,6.669,5
Karnataka,late,nonagri_share_wt,2021,48.732,2.935,4
Karnataka,late,nonagri_share_wt,2023,43.908,4.858,4
Bihar,early,unemp_rate_wt,2019,5.457,3.093,3
Bihar,early,unemp_rate_wt,2021,11.287,1.255,3
Bihar,late,unemp_rate_wt,2019,5.942,4.223,11
Bihar,late,unemp_rate_wt,2021,8.84,3.116,9
Bihar,late,unemp_rate_wt,2023,7.79,3.704,7
Bihar,early,agri_share_wt,2019,50.087,4.301,3
Bihar,early,agri_share_wt,2021,55.84,3.797,3
Bihar,late,agri_share_wt,2019,52.702,3.686,11
Bihar,late,agri_share_wt,2021,53.536,3.245,9
Bihar,late,agri_share_wt,2023,50.661,4.007,7
Bihar,early,nonagri_share_wt,2019,49.913,4.301,3
Bihar,early,nonagri_share_wt,2021,44.16,3.797,3
Bihar,late,nonagri_share_wt,2019,47.298,3.686,11
Bihar,late,nonagri_share_wt,2021,46.464,3.245,9
Bihar,late,nonagri_share_wt,2023,49.339,4.007,7
Rajasthan,early,unemp_rate_wt,2019,10.703,2.857,3
Rajasthan,late,unemp_rate_wt,2019,13.839,4.657,7
Rajasthan,late,unemp_rate_wt,2021,12.325,3.109,8
Rajasthan,late,unemp_rate_wt,2023,13.758,2.109,6
Rajasthan,early,agri_share_wt,2019,53.233,1.953,3
Rajasthan,late,agri_share_wt,2019,51.889,2.076,7
Rajasthan,late,agri_share_wt,2021,51.624,3.029,8
Rajasthan,late,agri_share_wt,2023,49.717,3.379,6
Rajasthan,early,nonagri_share_wt,2019,46.767,1.953,3
Rajasthan,late,nonagri_share_wt,2019,48.111,2.076,7
Rajasthan,late,nonagri_share_wt,2021,48.376,3.029,8
Rajasthan,late,nonagri_share_wt,2023,50.283,3.379,6
ALL,early,unemp_rate_wt,2019,6.998,4.247,17
ALL,early,unemp_rate_wt,2021,8.312,2.955,17
ALL,early,unemp_rate_wt,2023,7.632,4.21,14
ALL,late,unemp_rate_wt,2019,8.753,5.357,23
ALL,late,unemp_rate_wt,2021,9.569,3.775,21
ALL,late,unemp_rate_wt,2023,8.905,4.926,17
ALL,early,agri_share_wt,2019,51.651,2.737,17
ALL,early,agri_share_wt,2021,51.417,3.429,17
ALL,early,agri_share_wt,2023,52.121,3.28,14
ALL,late,agri_share_wt,2019,51.673,4.181,23
ALL,late,agri_share_wt,2021,52.375,3.129,21
ALL,late,agri_share_wt,2023,51.606,4.558,17
ALL,early,nonagri_share_wt,2019,48.349,2.737,17
ALL,early,nonagri_share_wt,2021,48.583,3.429,17
ALL,early,nonagri_share_wt,2023,47.879,3.28,14
ALL,late,nonagri_share_wt,2019,48.327,4.181,23
ALL,late,nonagri_share_wt,2021,47.625,3.129,21
ALL,late,nonagri_share_wt,2023,48.394,4.558,17
