plfs_code,census_name_alpha,n_2019,n_2023
1,Araria,333,522
2,Arwal,751,854
4,Banka,216,0
5,Begusarai,192,531
6,Bhagalpur,29,0
7,Bhojpur,240,35
8,Buxar,236,242
9,Darbhanga,932,540
10,Gaya,427,270
11,Gopalganj,223,56
12,Jamui,304,364
13,Jehanabad ,559,1066
14,Kaimur (Bhabua),966,1098
15,Katihar,121,331
16,Khagaria,172,336
17,Kishanganj,605,156
18,Lakhisarai,549,190
19,Madhepura,345,219
20,Madhubani,370,445
21,Munger,33,153
22,Muzaffarpur,864,930
23,Nalanda,266,0
24,Nawada,494,586
25,Pashchim Champaran,414,279
26,Patna,184,76
27,Purba Champaran,479,463
28,Purnia,4070,4215
29,Rohtas,559,562
30,Saharsa,272,69
31,Samastipur,163,338
32,Saran,917,962
33,Sheikhpura,266,497
34,Sheohar,1186,740
35,Sitamarhi,54,333
36,Siwan,339,269
37,Supaul,403,243
38,Vaishali,84,160
