plfs_code,census_name_alpha,n_2019,n_2023
1,Ajmer,1331,394
2,Alwar,498,622
3,Banswara,1163,960
4,Baran,515,490
5,Barmer,326,511
6,Bharatpur,1253,731
7,Bhilwara,464,272
8,Bikaner,157,184
9,Bundi,693,190
10,Chittaurgarh,397,417
11,Churu,385,372
12,Dausa,4796,4325
13,Dhaulpur,620,877
14,Dungarpur,1005,1000
15,Ganganagar ,1778,2053
16,Hanumangarh,104,0
17,Jaipur,625,195
18,Jaisalmer,99,178
19,Jalor,263,122
20,Jhalawar,301,534
21,Jhunjhunun,1112,1144
22,Jodhpur,218,476
23,Karauli,105,115
24,Kota,439,1125
25,Nagaur,242,217
26,Pali,66,196
27,Pratapgarh,176,73
28,Rajsamand,331,373
29,Sawai Madhopur,1134,1493
30,Sikar,325,396
31,Sirohi,706,419
32,Tonk,1037,606
33,Udaipur,39,64
